canonical_source_id,source_type,volume_count,occurrences,administrations,item_kinds,path_text,volumes
vance-cyrus-hard-choices-critical-years-in-america-s-foreign-712fe0cc,published,9,9,carter,source,"Vance, Cyrus. Hard Choices: Critical Years in America’s Foreign Policy. New York: Simon and Schuster, 1983.",frus1977-80v06; frus1977-80v08; frus1977-80v09; frus1977-80v09Ed2; frus1977-80v13; frus1977-80v17p1; frus1977-80v20; frus1977-80v21; frus1977-80v26
washington-national-records-center-suitland-maryland-rg-330-5cc08631,unpublished,9,9,carter; reagan,container,"Washington National Records Center, Suitland, Maryland > RG 330, Records of the Department of Defense",frus1977-80v12; frus1977-80v13; frus1977-80v16; frus1977-80v17p1; frus1977-80v27; frus1977-80v28; frus1981-88v04; frus1981-88v05; frus1981-88v13
central-intelligence-agency-langley-virginia-857ed4ff,unpublished,8,8,carter,container,"Central Intelligence Agency, Langley, Virginia",frus1977-80v09; frus1977-80v09Ed2; frus1977-80v11p1; frus1977-80v16; frus1977-80v18; frus1977-80v21; frus1977-80v26; frus1977-80v28
department-of-state-washington-d-c-lot-files-these-files-hav-bfb8dd31,unpublished,8,8,bush-ghw; carter,container; source,"Department of State, Washington, D.C. > Lot Files. These files have been transferred or will be transferred to the National Archives and Records Administration in College Park, Maryland.",frus1977-80v01; frus1977-80v02; frus1977-80v11p1; frus1977-80v15; frus1977-80v17p1; frus1977-80v19; frus1977-80v29; frus1989-92v31
jimmy-carter-presidential-library-atlanta-georgia-brzezinski-42b8b17e,unpublished,8,8,carter,container; source,"Jimmy Carter Presidential Library, Atlanta, Georgia > Brzezinski Donated Material",frus1977-80v06; frus1977-80v09; frus1977-80v09Ed2; frus1977-80v11p1; frus1977-80v12; frus1977-80v18; frus1977-80v19; frus1977-80v23
jimmy-carter-presidential-library-atlanta-georgia-national-s-977488b4,unpublished,8,8,carter,source,"Jimmy Carter Presidential Library, Atlanta, Georgia > National Security Affairs > Brzezinski Material > Country File",frus1977-80v11p1; frus1977-80v12; frus1977-80v15; frus1977-80v17p3; frus1977-80v18; frus1977-80v19; frus1977-80v21; frus1977-80v26
ronald-reagan-presidential-library-simi-valley-california-wh-2a2d08ab,unpublished,8,8,reagan,container; source,"Ronald Reagan Presidential Library, Simi Valley, California > White House Staff and Office Files",frus1981-88v01; frus1981-88v03; frus1981-88v04; frus1981-88v05; frus1981-88v06; frus1981-88v11; frus1981-88v38; frus1981-88v44p1
central-intelligence-agency-langley-virginia-office-of-the-d-fc43c114,unpublished,7,7,carter,container,"Central Intelligence Agency, Langley, Virginia > Office of the Director of Central Intelligence",frus1977-80v09; frus1977-80v09Ed2; frus1977-80v11p1; frus1977-80v16; frus1977-80v18; frus1977-80v26; frus1977-80v28
current-digest-of-the-soviet-press-43cfdc11,published,7,7,carter; reagan,source,Current Digest of the Soviet Press.,frus1977-80v01; frus1977-80v12; frus1977-80v20; frus1981-88v01; frus1981-88v04; frus1981-88v05; frus1981-88v10
jimmy-carter-presidential-library-atlanta-georgia-national-s-003159b6,unpublished,7,7,carter,container; source,"Jimmy Carter Presidential Library, Atlanta, Georgia > National Security Affairs > Brzezinski Material > Brzezinski Office File",frus1977-80v06; frus1977-80v11p1; frus1977-80v12; frus1977-80v15; frus1977-80v18; frus1977-80v21; frus1977-80v26
the-new-york-times-0bab8f89,published,7,7,carter,source,The New York Times.,frus1977-80v01; frus1977-80v02; frus1977-80v18; frus1977-80v20; frus1977-80v21; frus1977-80v29; frus1977-80v30
the-washington-post-6b755098,published,7,7,carter,source,The Washington Post.,frus1977-80v01; frus1977-80v02; frus1977-80v18; frus1977-80v20; frus1977-80v21; frus1977-80v29; frus1977-80v30
carter-jimmy-keeping-faith-memoirs-of-a-president-new-york-b-b1c197e7,published,6,6,carter,source,"Carter, Jimmy. Keeping Faith: Memoirs of a President. New York: Bantam Books, 1982.",frus1977-80v06; frus1977-80v18; frus1977-80v20; frus1977-80v26; frus1977-80v28; frus1977-80v29
central-intelligence-agency-national-intelligence-council-d9a95ce1,unpublished,6,6,carter; reagan,container,Central Intelligence Agency > National Intelligence Council,frus1977-80v02; frus1977-80v19; frus1977-80v27; frus1981-88v04; frus1981-88v24; frus1981-88v38
chicago-tribune-a61b3a1b,published,6,6,carter; reagan,source,Chicago Tribune.,frus1977-80v01; frus1977-80v11p1; frus1977-80v12; frus1977-80v20; frus1977-80v30; frus1981-88v01
department-of-state-central-foreign-policy-file-d0a4a0e7,unpublished,6,6,reagan,container; source,Department of State > Central Foreign Policy File,frus1981-88v03; frus1981-88v04; frus1981-88v05; frus1981-88v06; frus1981-88v13; frus1981-88v41
department-of-state-washington-d-c-central-foreign-policy-fi-3ea17c6e,unpublished,6,6,carter,source,"Department of State, Washington, D.C. > Central Foreign Policy File. These files have been transferred or will be transferred to the National Archives and Records Administration in College Park, Maryland. > D Reels",frus1977-80v01; frus1977-80v02; frus1977-80v15; frus1977-80v24; frus1977-80v29; frus1977-80v30
department-of-state-washington-d-c-central-foreign-policy-fi-695cf123,unpublished,6,6,carter,source,"Department of State, Washington, D.C. > Central Foreign Policy File. These files have been transferred or will be transferred to the National Archives and Records Administration in College Park, Maryland. > N Reels",frus1977-80v01; frus1977-80v02; frus1977-80v15; frus1977-80v24; frus1977-80v29; frus1977-80v30
